Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
Joey Wendle,NYM,18,37,0,3,1,1,0.027027027,0.243243243,0.027777778,0.296296296,0.222222222,0.243243243,0.25,0.2193392386307587,0.239,40.81055704914968,0.3583163619041443,-2.26051335968224,-1.25305116176605,-0.235620655455078,Joey Wendle,13853,621563
Owen Miller,MIL,14,27,0,2,3,0,0.0,0.296296296,0.037037037,0.263157894,0.185185185,0.185185185,0.222222222,0.1770847770902845,0.185,8.484647574295206,-0.0330936616519466,-2.98783184891313,-0.204923331737518,-0.236880711614754,Owen Miller,24655,680911
Adolis García,TEX,154,637,25,68,85,11,0.070643642,0.277864992,0.175862069,0.2734375,0.224137931,0.284144427,0.4,0.2958071366069824,0.306,91.88485090815524,-0.681166894733905,-6.59598703258445,-16.9702253341674,-0.240790275057932,Adolis Garcia,19287,666969
Johnathan Rodriguez,CLE,13,40,0,6,5,0,0.225,0.35,0.032258064,0.235294117,0.129032258,0.325,0.161290322,0.2525438696146011,0.257,62.67850877163007,-0.0458433255553245,-1.75398774687723,-1.96217054128646,-0.246083697968704,Johnathan Rodriguez,22530,671286
Anthony Rizzo,NYY,92,375,8,38,35,0,0.072,0.173333333,0.106824926,0.259398496,0.228486646,0.301333333,0.335311572,0.2847893614768982,0.297,84.11102083124227,-2.80959614366292,-9.62721739744501,-5.27809166908264,-0.248329984003971,Anthony Rizzo,3473,519203
Austin Martin,MIN,93,257,1,41,16,7,0.077821011,0.182879377,0.098712446,0.313513513,0.253218884,0.317647058,0.35193133,0.2973696701666888,0.297,93.64250821839708,0.9690024480223656,-0.900493542807138,-10.0762083530426,-0.248844798793782,Austin Martin,27462,668885
Keibert Ruiz,WSN,127,485,13,46,57,3,0.03298969,0.111340206,0.130718955,0.231738035,0.228758169,0.259793814,0.359477124,0.2684882994779606,0.279,70.74136544654421,-1.14725326001644,-18.116285606484,-0.470056772232055,-0.25151819158439,Keibert Ruiz,19610,660688
Riley Adams,WSN,41,130,2,10,8,1,0.076923076,0.269230769,0.112068965,0.296296296,0.224137931,0.292307692,0.336206896,0.2749977846478307,0.281,75.12269516600813,-0.404094941914081,-4.27139584474468,-2.49343121051788,-0.251553264718444,Riley Adams,19864,656180
Armando Alvarez,OAK,16,39,0,7,2,1,0.051282051,0.205128205,0.027027027,0.310344827,0.243243243,0.282051282,0.27027027,0.2483690579732259,0.286,62.468755708564295,0.0439339056611061,-1.63086696282963,-2.11933131515979,-0.253042088153563,Armando Alvarez,19292,669137
Esteury Ruiz,OAK,29,65,2,10,8,5,0.061538461,0.307692307,0.181818181,0.257142857,0.2,0.269841269,0.381818181,0.2807173596488105,0.281,85.22321171336465,-1.0612514168024,-2.16025476379988,-2.48246544599533,-0.255706476544594,Esteury Ruiz,21780,665923
Jack López,LAA,27,71,1,4,6,0,0.028169014,0.352112676,0.089552239,0.390243902,0.253731343,0.285714285,0.343283582,0.2767663172313145,0.201,76.70180779625144,-0.0578107833862304,-1.95052994922181,-2.90362304449081,-0.256885870504966,Jack Lopez,13663,605346
Andruw Monasterio,MIL,59,142,1,14,16,6,0.112676056,0.28169014,0.064,0.297619047,0.208,0.302816901,0.272,0.2655094337295478,0.291,68.0005026622224,0.9368126466870308,-4.49685142194747,-2.74280647933483,-0.259321696624183,Andruw Monasterio,19455,655316
Brett Harris,OAK,36,123,3,15,12,0,0.138211382,0.203252032,0.116504855,0.157894736,0.145631067,0.276422764,0.262135922,0.2520583286518004,0.274,65.06386404492507,-1.43043234664946,-6.34726681904026,-0.2665895819664,-0.25959754249185,Brett Harris,29788,695391
Bryce Teodosio,LAA,5,12,0,1,0,0,0.0,0.416666666,0.0,0.142857142,0.083333333,0.083333333,0.083333333,0.0734758923451105,0.114,-66.2968285977473,-0.0078924223780632,-2.29123366119362,-0.669652212411165,-0.26447976274684,Bryce Teodosio,29524,669326
Brooks Lee,MIN,50,185,3,9,27,3,0.059459459,0.145945945,0.098837209,0.243055555,0.220930232,0.264864864,0.319767441,0.2522158170006965,0.274,61.880365784555714,0.0476676747202873,-8.02145021231674,-0.707823038101196,-0.264618317959383,Brooks Lee,31595,686797
Akil Baddoo,DET,31,82,2,7,5,1,0.097560975,0.329268292,0.164383562,0.177777777,0.136986301,0.219512195,0.301369863,0.229607550109305,0.297,46.49207849798147,0.7629361599683762,-4.25745482479723,-1.06185857951641,-0.267055591080334,Akil Baddoo,22168,668731
Davis Wendzel,TEX,27,49,1,2,2,0,0.020408163,0.244897959,0.106382979,0.147058823,0.127659574,0.163265306,0.234042553,0.1757746582128563,0.263,7.451554342612049,0.1081426814198494,-5.08070373888614,0.8294739946722984,-0.270359307232098,Davis Wendzel,26469,673995
Jake Cave,COL,123,346,7,42,37,5,0.052023121,0.283236994,0.145510836,0.334841628,0.250773993,0.289855072,0.396284829,0.2951570868838665,0.277,75.2224695915322,0.477264828979969,-9.77442365696241,-4.37815761566162,-0.271665390471132,Jake Cave,14477,595909
James Outman,LAD,53,156,4,12,11,2,0.102564102,0.352564102,0.117647059,0.207792207,0.147058823,0.256410256,0.264705882,0.2416898531791491,0.282,54.03879664007621,-0.256429395405575,-8.83030688423124,0.977404773235321,-0.274506643175227,James Outman,24770,681546
Ben Rice,NYY,50,178,7,20,23,0,0.11235955,0.269662921,0.177631579,0.186274509,0.171052631,0.264044943,0.34868421,0.2687584282307143,0.34,72.83453500752114,-0.468191429972648,-6.00096316517309,-2.69543769955635,-0.285323053842764,Ben Rice,29576,700250
Curtis Mead,TBR,38,132,1,10,7,2,0.045454545,0.227272727,0.049180327,0.304347826,0.237704918,0.282442748,0.286885245,0.2551976000989666,0.28,67.35203401329048,0.2032255828380584,-4.72778197169221,-2.45655599236488,-0.287530227210672,Curtis Mead,23986,678554
Travis Jankowski,TEX,104,207,1,19,12,11,0.057971014,0.212560386,0.042105263,0.255172413,0.2,0.265700483,0.242105263,0.2338507886670062,0.241,48.30349051536687,1.7703824266791344,-10.4740081268052,0.7080409526824951,-0.295943731625755,Travis Jankowski,13768,608671
Mickey Gasper,BOS,13,23,0,1,0,0,0.173913043,0.347826086,0.0,0.0,0.0,0.217391304,0.0,0.151161517785943,0.315,-15.6747848615671,-0.039462111890316,-3.08365483754841,-0.564706087112426,-0.297609634642396,Mickey Gasper,24759,681508
CJ Alexander,KCR,4,8,0,0,0,0,0.0,0.375,0.0,0.2,0.125,0.125,0.125,0.1102138385176658,0.21,-43.1513141571752,-0.0078924223780632,-1.31825334652358,-1.85415076464414,-0.300096155370568,CJ Alexander,20557,680769
Addison Barger,TOR,69,225,7,20,28,2,0.062222222,0.266666666,0.153846154,0.239436619,0.197115384,0.25,0.350961538,0.2624712219195707,0.291,69.76630384824855,0.5426032096147537,-7.24097636243975,-3.19324404001235,-0.302988696068166,Addison Barger,24598,680718
Graham Pauley,SDP,13,32,2,4,5,0,0.0,0.46875,0.1875,0.133333333,0.125,0.125,0.3125,0.1832076124846935,0.211,16.654656301220072,0.1846813112497329,-3.00459835942094,-1.03617483377456,-0.307265828345615,Graham Pauley,31363,688363
Alex Kirilloff,MIN,57,178,5,20,20,0,0.084269662,0.264044943,0.182389937,0.245454545,0.201257861,0.269662921,0.383647798,0.2821228812249858,0.31,82.91760551198051,0.1283996701240539,-3.35075996947811,-5.56335973739624,-0.307808561547842,Alex Kirilloff,20325,666135
Alika Williams,PIT,37,96,0,13,5,1,0.03125,0.229166666,0.091954023,0.276923076,0.206896551,0.241758241,0.298850574,0.2369858602901081,0.251,46.58752731052207,-0.535336658358573,-6.66695622157473,0.4794921278953552,-0.308859085024302,Alika Williams,27604,675961
Tyler Wade,SDP,90,156,0,28,8,8,0.07051282,0.185897435,0.02173913,0.275229357,0.217391304,0.284768211,0.239130434,0.2423201957285799,0.281,56.44147676430361,1.668314278125763,-6.4573529045284,-1.83076325058937,-0.319454561536589,Tyler Wade,15730,642180
Joey Wiemer,- - -,21,28,0,2,0,1,0.071428571,0.321428571,0.0,0.235294117,0.153846153,0.214285714,0.153846153,0.1751822956970759,0.243,6.986204214607527,0.00643998384475708,-3.10790474703289,-0.92192945163697,-0.319893080430088,Joey Wiemer,27690,686894
Daniel Vogelbach,TOR,31,79,1,5,8,0,0.11392405,0.215189873,0.114285715,0.23076923,0.185714285,0.27848101199999997,0.3,0.2619745987880079,0.36,69.41696899563584,-0.617504626512527,-3.38198317101078,-2.37654304504394,-0.322744945044016,Daniel Vogelbach,14130,596129
Jacob Amaya,- - -,24,72,0,4,3,1,0.055555555,0.388888888,0.014705882,0.3,0.176470588,0.222222222,0.19117647,0.1904137060046196,0.202,17.452568573113233,0.221810020506382,-6.59548172940895,1.0631254750769583,-0.323486346139874,Jacob Amaya,23296,676070
MJ Melendez,KCR,135,451,17,44,44,4,0.077605321,0.250554323,0.194174757,0.241134751,0.206310679,0.273333333,0.400485436,0.291956000843133,0.317,84.68983430019267,-1.18343899399042,-9.08407475657081,-9.11130857467651,-0.326467267880503,MJ Melendez,22197,669004
Andrew Benintendi,CHW,135,522,20,50,64,3,0.078544061,0.183908045,0.167714885,0.244505494,0.22851153,0.28927203,0.396226415,0.297897513676971,0.303,92.82664401784544,-1.87703099846839,-6.16151468808467,-14.416154384613,-0.328064300730909,Andrew Benintendi,17901,643217
Vidal Bruján,MIA,102,278,2,32,16,5,0.089928057,0.194244604,0.096774194,0.276041666,0.221774193,0.303249097,0.318548387,0.2755701622388659,0.262,72.52215467681481,-0.999839536845684,-10.1344231362087,-2.36535561084747,-0.334836810426326,Vidal Brujan,20536,660644
Cole Tucker,LAA,25,57,0,3,3,3,0.105263157,0.298245614,0.12,0.264705882,0.18,0.263157894,0.3,0.2503389433810585,0.256,58.11225333899435,0.8133732676506042,-1.91854348478219,-3.31361424922943,-0.344124784343046,Cole Tucker,17326,657061
Shay Whitcomb,HOU,20,46,0,1,5,0,0.108695652,0.173913043,0.073170731,0.272727272,0.219512195,0.304347826,0.292682926,0.2717229633227638,0.342,76.471330968685,-0.185539841651916,-1.42393943228463,-3.45438595116138,-0.34545277304748,Shay Whitcomb,27789,694376
Ryan Vilade,DET,17,49,1,5,5,0,0.040816326,0.244897959,0.066666667,0.212121212,0.177777777,0.208333333,0.244444444,0.1999968228240808,0.246,25.663288225188868,-0.0724083191016689,-4.24019069567425,-0.751284152269363,-0.34681014088334,Ryan Vilade,22165,668723
Jeimer Candelario,CIN,112,463,20,47,56,4,0.058315334,0.246220302,0.203747073,0.256756756,0.224824355,0.27861771,0.428571428,0.303528346927651,0.28,87.48743401466132,-0.803341813385486,-7.73103517126055,-11.093475818634,-0.3517792413226,Jeimer Candelario,13621,600869
Michael Stefanic,LAA,40,124,0,8,8,0,0.080645161,0.161290322,0.036363636,0.266666666,0.218181818,0.300813008,0.254545454,0.2577551385251487,0.254,63.328956454403375,-0.40863611549139,-5.61159700542039,-2.04428875446319,-0.363773151519363,Michael Stefanic,25353,683021
Garrett Cooper,- - -,36,116,1,6,11,0,0.060344827,0.301724137,0.093457944,0.295774647,0.205607476,0.267241379,0.29906542,0.2534630134187896,0.321,57.694447110896135,-0.309700392186641,-5.88438424796901,-1.56827396154403,-0.370473002550112,Garrett Cooper,15279,643265
Korey Lee,CHW,125,394,12,36,37,6,0.043147208,0.30964467,0.137931035,0.275720164,0.209549071,0.243654822,0.347480106,0.2571362089082069,0.256,64.15430982976815,0.9407338574528694,-15.2191701207351,-1.52381241321563,-0.372707198352803,Korey Lee,25543,686676
Grae Kessinger,HOU,23,25,0,4,0,0,0.12,0.28,0.0,0.0,0.0,0.16,0.0,0.1115033674240112,0.226,-36.230404737481,-0.207094952464103,-4.10399855625596,-0.357091516256332,-0.37466082116085,Grae Kessinger,25813,666197
Miles Mastrobuoni,CHC,50,106,0,9,4,2,0.066037735,0.160377358,0.030612244,0.231707317,0.193877551,0.245283018,0.224489795,0.2141002343510681,0.294,36.31625220253251,0.8648445829749107,-7.20742697340118,-0.00687384605407714,-0.380515934211556,Miles Mastrobuoni,20017,670156
Drew Romo,COL,16,53,0,4,6,0,0.037735849,0.339622641,0.058823529,0.272727272,0.176470588,0.207547169,0.235294117,0.1968276253286397,0.173,9.040001858926484,-0.450261851772666,-6.21510634630011,0.7606695145368576,-0.381041514670854,Drew Romo,27763,691011
Mitch Garver,SEA,114,430,15,37,51,0,0.123255813,0.309302325,0.16893733,0.216216216,0.171662125,0.286046511,0.340599455,0.2813210588555003,0.285,88.05710772725122,-2.00288877636194,-7.8789130050602,-10.2752676010131,-0.394511107701942,Mitch Garver,15161,641598
Adael Amador,COL,10,36,0,1,0,1,0.027777777,0.166666666,0.028571429,0.206896551,0.171428571,0.194444444,0.2,0.1764480670293172,0.264,-4.67683781676049,-0.802436172962188,-5.30867681012773,0.227800004184246,-0.400928361402609,Adael Amador,27962,691182
Curt Casali,SFG,41,125,1,12,8,0,0.104,0.176,0.055555556,0.235294117,0.194444444,0.292682926,0.25,0.2536676017249503,0.265,62.369261655673824,-0.239080611616373,-5.86397065250996,-2.26594114303588,-0.409732375642825,Curt Casali,12510,592200
Matt Mervis,CHC,9,28,0,1,3,0,0.035714285,0.285714285,0.038461538,0.166666666,0.115384615,0.148148148,0.153846153,0.1372962329122755,0.158,-15.3781053843133,-0.184493742883205,-4.04765394969109,-0.867055296897888,-0.411280966347526,Matt Mervis,27845,670223
J.D. Davis,- - -,46,157,4,13,6,0,0.076433121,0.248407643,0.11971831,0.272727272,0.218309859,0.29299363,0.338028169,0.2821557669882562,0.284,85.67779743002278,-0.844253204762935,-3.41710678702367,-5.89934833347797,-0.421660013329999,J.D. Davis,16219,605204
Daz Cameron,OAK,66,186,5,22,15,5,0.069892473,0.274193548,0.129411764,0.25,0.2,0.258064516,0.329411764,0.2584324296443693,0.282,69.54753685285596,0.5468810424208641,-5.93410338441665,-4.3545833826065,-0.422228188121454,Daz Cameron,18353,663662
Tyler Nevin,OAK,87,278,7,22,20,1,0.089928057,0.230215827,0.126530612,0.242937853,0.204081632,0.287769784,0.330612244,0.2763216570555735,0.296,82.13118474171405,-0.657776407897472,-6.34167292051337,-7.08652520179748,-0.429730599424032,Tyler Nevin,17893,663527
Zack Short,- - -,42,88,0,11,5,2,0.159090909,0.272727272,0.042857143,0.195652173,0.128571428,0.282352941,0.171428571,0.2284897039918338,0.271,44.06838548311526,0.1512080207467079,-5.8385455879841,-1.26199908927083,-0.430649028144153,Zack Short,19562,670097
Jace Peterson,ARI,14,26,0,2,1,0,0.115384615,0.23076923,0.0,0.058823529,0.045454545,0.153846153,0.045454545,0.1134270337911752,0.246,-35.6240114617708,-0.0390360481105744,-4.25572162133994,-0.796001613140106,-0.432309963240126,Jace Peterson,12325,607054
Bryan Ramos,CHW,32,108,3,13,11,0,0.064814814,0.203703703,0.131313131,0.226666666,0.202020202,0.252336448,0.333333333,0.2565679639299339,0.282,63.75459470754207,-0.60428187251091,-5.08329487520845,-2.73595440387725,-0.43573004200771,Bryan Ramos,25621,682868
Tucker Barnhart,ARI,31,96,0,13,6,1,0.135416666,0.322916666,0.037037037,0.28,0.172839506,0.287234042,0.209876543,0.2385197408655856,0.24,48.57195502266468,0.1013063713908195,-5.80250580585575,-1.6809714436531,-0.442708381273495,Tucker Barnhart,10200,571466
Luis Campusano,SDP,91,299,8,37,40,0,0.066889632,0.137123745,0.133574007,0.240174672,0.227436823,0.280936454,0.36101083,0.2817369394477793,0.289,82.97164715331901,-0.529401026666164,-6.61782816889115,-7.75971460342407,-0.456543730989574,Luis Campusano,22217,669134
Pedro León,HOU,7,21,0,2,0,2,0.047619047,0.476190476,0.0,0.2,0.1,0.142857142,0.1,0.1167881971313839,0.186,-32.5129475962908,-0.491303570568561,-3.67537804048602,-1.49053093791008,-0.4612241868126,Pedro Leon,27781,694175
Victor Scott II,STL,53,155,2,14,10,5,0.038709677,0.270967741,0.103448276,0.233009708,0.179310344,0.219354838,0.28275862,0.2205810742993508,0.246,39.60056626539706,0.8779310062527657,-10.3171141460396,0.6755057573318481,-0.462679418086415,Victor Scott II,31349,687363
Rowdy Tellez,PIT,132,421,13,38,56,1,0.073634204,0.211401425,0.148825065,0.279720279,0.242819843,0.29928741,0.391644908,0.3009369958041683,0.302,89.63102511555812,-2.3494464084506,-7.56955097612165,-10.9613921642303,-0.465908789674047,Rowdy Tellez,15679,642133
Darell Hernaiz,OAK,48,135,1,8,12,1,0.081481481,0.2,0.05,0.234042553,0.191666666,0.261194029,0.241666666,0.2303439027337885,0.271,49.789493409454366,-0.725922368466854,-8.48185412300435,-0.556694149971008,-0.468700406131447,Darell Hernaiz,26224,687231
Nacho Alvarez Jr.,ATL,8,32,0,1,0,0,0.0,0.3125,0.0,0.15,0.1,0.15625,0.1,0.1276723798364401,0.206,-25.5940813973871,-0.040657456847839,-4.84662060704969,-0.760578110814094,-0.469042700100772,Nacho Alvarez Jr.,31765,805373
